majorSeq,major_name,공통과목,일반선택과목,진로선택과목,전문교과Ⅰ,전문교과Ⅱ,,,,,,,,,,,,,,,,,,,
20,건축학과,"수학, 사회, 과학, 기술ㆍ가정","수학교과 : 수학ⅠㆍⅡ, 미적분, 확률과 통계<br>사회교과 : 한국지리, 세계지리, 사회ㆍ문화<br>과학교과 : 물리학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","실용수학, 기하, 수학과제 탐구, 사회문제 탐구, 물리학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 생활과 과학, 융합과학, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 생태와 환경, 과학과제 연구, 지역 이해, 세계 문제와 미래 사회, 사회과제 연구","건축 일반, 건축 도면 해석과 제도, 프로그래밍",,,,,,,,,,,,,,,,,,,
21,게임공학과,"수학, 과학, 예술, 생활ㆍ교양, 사회, 국어","수학ㆍ과학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계, 물리학Ⅰ, 지구과학Ⅰ<br>예술ㆍ사회교과 : 미술, 연극, 음악, 사회문화, 생활과 윤리, 세계사, 경제<br>생활ㆍ교양교과 : 정보, 심리학, 논술, 인문학적 감성과 역사이해, 문학적 감성과 상상력","미술창작, 미술/음악 감상과 비평, 사회문제 탐구, 고전 읽기, 융합 과학, 지식재산 일반, 창의 경영, 수학탐구 과제, 기하","문학과 매체, 영상 제작의 이해, 매체미술, 드로잉, 사진 표현 기법, 사진영상편집, 사회과제 연구, 시나리오","콘텐츠일반, 문화콘텐츠산업일반, 컴퓨터그래픽, 영상제작기초, 프로그래밍",,,,,,,,,,,,,,,,,,,
22,경영정보과,"영어, 사회, 생활ㆍ교양","영어교과 : 영어 회화, 영어I, 영어Ⅱ<br>사회교과 : 한국지리, 세계지리, 경제, 사회ㆍ문화, 생활과 윤리<br>생활ㆍ교양교과 : 심리학, 교육학, 실용 경제","실용 수학, 실용 영어, 진로 영어, 사회문제 탐구, 창의 경영, 지식 재산 일반","정보과학, 국제 경제, 지역 이해, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구","기업과 경영, 커뮤니케이션, 정보통신, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
23,경영학과,"수학, 사회, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학I, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 창의 경영, 지식 재산 일반","심화 수학I, 정보과학, 국제 경제, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구","기업과 경영, 회계 정보 처리 시스템, 금융 일반, 마케팅과 광고, 창업 일반, 커뮤니케이션, 유통 관리",,,,,,,,,,,,,,,,,,,
24,경영회계정보과,"수학, 사회, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학I, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 사회ㆍ문화, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구","심화 수학I,Ⅱ 고급수학I, Ⅱ, 정보과학, 국제 경제, 사회 탐구 방법 및 사회과제 연구","회계 원리, 회계 정보 처리 시스템, 세무 일반, 국제 상무, 금융 일반, 보험 일반, 회계 실무",,,,,,,,,,,,,,,,,,,
25,경제학과,"수학, 과학, 기술ㆍ가정, 생활ㆍ교양","수학교과 : 수학Ⅰ, Ⅱ, 미적분, 확률과 통계<br>사회교과 : 경제, 생활과 윤리<br>기술ㆍ가정교과 : 정보<br>생활ㆍ교양교과 : 실용 경제","실용 수학, 기하, 경제 수학, 수학 과제 탐구, 사회문제 탐구, 지식 재산 일반","심화 수학 Ⅰ,Ⅱ, 고급 수학 Ⅰ,Ⅱ, 정보과학, 국제 경제, 국제법, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구","상업 경제, 회계 정보 처리 시스템, 금융 일반, 마케팅과 광고, 창업 일반, 커뮤니케이션",,,,,,,,,,,,,,,,,,,
26,경찰행정과,"사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 세계사, 경제, 정치와 법, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학",사회문제 탐구,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 정보처리와 관리, 컴퓨터 보안, 정보 보호 관리, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
27,경찰행정학과,"사회, 생활ㆍ교양","사회교과 : 한국지리, 세계지리, 세계사, 경제, 정치와 법, 사회ㆍ문화, 생활과 윤리, 윤리와 사상<br>생활ㆍ교양교과 : 철학, 논리학, 심리학",사회문제 탐구,"지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구","커뮤니케이션, 정보처리와 관리, 컴퓨터 보안, 정보 보호 관리, 빅데이터 분석",,,,,,,,,,,,,,,,,,,
28,경호스포츠과,"체육, 윤리","체육교과 : 체육, 운동과 건강<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","스포츠 생활, 체육 탐구","스포츠 개론, 체육 지도법, 체육 전공 실기 기초, 체육 전공 실기 심화, 체육 전공 실기 응용","인체 구조와 기능, 간호의 기초",,,,,,,,,,,,,,,,,,,
29,고고학과,"사회, 역사, 한문, 수학, 영어, 제2외국어","사회교과 : 사회문화, 세계사, 동아시아사, 한국지리, 윤리와 사상<br>한문ㆍ외국어교과 : 한문Ⅰ, 한문Ⅱ, 영어Ⅰ, 영어Ⅱ, 중국어Ⅰ, 일본어Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 확률과 통계","사회문제 탐구, 고전 읽기, 고전과 윤리, 여행지리, 현대 세계의 변화","사회탐구 방법, 사회과제 연구, 한국 사회의 이해, 비교 문화, 지역 이해",문화콘텐츠 산업 일반,,,,,,,,,,,,,,,,,,,
30,고분자공학과,"수학, 과학, 기술ㆍ가정","수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>과학교과 : 물리학Ⅰ, 화학Ⅰ<br>기술ㆍ가정교과 : 기술ㆍ가정, 정보","기하, 물리학Ⅱ, 화학Ⅱ, 공학 일반","심화수학ⅠㆍⅡ, 고급 수학ⅠㆍⅡ, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 정보과학, 과학과제연구","공업일반, 공업 화학, 제조 화학, 화학 분석, 석유 화학 제품",,,,,,,,,,,,,,,,,,,
32,기술교육과,"영어, 기술ㆍ가정, 윤리","기술ㆍ가정교과 : 기술ㆍ가정<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","공학일반, 창의경영, 해양 문화와 기술, 가정과학, 지식재산 일반",사회과제 연구,"기초제도, 식품과학, 식품위생",,,,,,,,,,,,,,,,,,,
33,공업디자인과,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평","미술 이론, 미술사, 드로잉 미술 전공 실기","디자인 일반, 시각디자인, 색체 관리",,,,,,,,,,,,,,,,,,,
34,공업디자인학과,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평","미술 이론, 미술사, 드로잉, 미술 전공 실기","디자인 일반, 시각 디자인, 색채 관리",,,,,,,,,,,,,,,,,,,
35,공업화학과,"과학, 수학, 교양, 영어","과학교과 : 화학Ⅰ, 생명과학Ⅰ, 물리Ⅰ, 지구과학Ⅰ<br>수학교과 : 수학Ⅰ, 수학Ⅱ, 미적분, 확률과 통계<br>교양교과 : 논리학, 철학, 환경, 논술, 보건학","화학Ⅱ, 물리Ⅱ, 융합과학, 과학사, 생활과 과학, 기하, 공학 일반, 사회문제 탐구","고급 화학, 화학 실험, 과학과제 연구, 융합과학 탐구, 정보과학, 심화수학Ⅰ, 심화수학Ⅱ, 고급 수학Ⅰ, 고급수학Ⅱ","환경화학기초, 공업화학, 제조화학",,,,,,,,,,,,,,,,,,,
37,공연예술과,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평","미술 이론, 미술사, 드로잉 미술 전공 실기","디자인 일반, 시각디자인, 색체 관리",,,,,,,,,,,,,,,,,,,
38,공예과,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평","미술 이론, 미술사, 드로잉 미술 전공 실기","디자인 일반, 시각디자인, 색체 관리",,,,,,,,,,,,,,,,,,,
39,공예디자인학과,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평","미술 이론, 미술사, 드로잉, 미술 전공 실기","디자인 일반, 시각 디자인, 색채 관리",,,,,,,,,,,,,,,,,,,
41,공예학과,"미술, 윤리","예술교과 : 미술<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","미술 창작, 미술 감상과 비평","미술 이론, 미술사, 드로잉, 미술 전공 실기","디자인 일반, 시각 디자인, 색채 관리",,,,,,,,,,,,,,,,,,,
44,과학교육과,"영어, 과학, 윤리","과학교과 : 물리학Ⅰ, 생명과학Ⅰ, 화학Ⅰ, 지구과학Ⅰ<br>사회교과 : 생활과 윤리, 윤리와 사상<br>교양교과 : 철학, 심리학, 교육학","실용수학, 기하, 물리학Ⅱ, 생명과학Ⅱ, 화학Ⅱ, 지구과학Ⅱ, 융합과학, 생활과 과학","고급 물리학, 물리학 실험, 고급 생명과학, 생명과학 실험, 고급 화학, 화학 실험, 고급 지구과학, 지구과학 실험, 과학과제 연구, 융합과학 탐구",,,,,,,,,,,,,,,,,,,,
